datetime,count
2011-01-20 0:00,104.55
2011-01-20 1:00,38.85
2011-01-20 2:00,38.85
2011-01-20 3:00,97.3
2011-01-20 4:00,97.3
2011-01-20 5:00,63.416666666666664
2011-01-20 6:00,100.12
2011-01-20 7:00,61.9
2011-01-20 8:00,103.6
2011-01-20 9:00,135.66666666666669
2011-01-20 10:00,144.3
2011-01-20 11:00,138.9
2011-01-20 12:00,108.75
2011-01-20 13:00,136.25
2011-01-20 14:00,124.8
2011-01-20 15:00,211.9
2011-01-20 16:00,132.3
2011-01-20 17:00,171.3
2011-01-20 18:00,147.7
2011-01-20 19:00,119.85
2011-01-20 20:00,154.65
2011-01-20 21:00,131.15
2011-01-20 22:00,199.85
2011-01-20 23:00,205.7
2011-01-21 0:00,241.8
2011-01-21 1:00,241.8
2011-01-21 2:00,56.83333333333333
2011-01-21 3:00,54.7
2011-01-21 4:00,37.0
2011-01-21 5:00,130.45
2011-01-21 6:00,74.03
2011-01-21 7:00,45.36666666666667
2011-01-21 8:00,56.6
2011-01-21 9:00,68.0
2011-01-21 10:00,66.7
2011-01-21 11:00,60.35
2011-01-21 12:00,109.26666666666668
2011-01-21 13:00,190.4
2011-01-21 14:00,183.4
2011-01-21 15:00,200.6
2011-01-21 16:00,211.5
2011-01-21 17:00,76.55
2011-01-21 18:00,82.95
2011-01-21 19:00,59.5
2011-01-21 20:00,52.3
2011-01-21 21:00,24.9
2011-01-21 22:00,19.7
2011-01-21 23:00,7.6
2011-01-22 0:00,31.05
2011-01-22 1:00,38.5
2011-01-22 2:00,60.5
2011-01-22 3:00,60.5
2011-01-22 4:00,42.0
2011-01-22 6:00,41.4
2011-01-22 7:00,41.4
2011-01-22 8:00,42.1
2011-01-22 9:00,61.5
2011-01-22 10:00,60.5
2011-01-22 11:00,44.3
2011-01-22 12:00,33.3
2011-01-22 13:00,67.2
2011-01-22 14:00,58.8
2011-01-22 15:00,85.8
2011-01-22 16:00,85.8
2011-01-22 17:00,103.1
2011-01-22 18:00,63.9
2011-01-22 19:00,52.9
2011-01-22 20:00,23.164285714285715
2011-01-22 21:00,49.9
2011-01-22 22:00,6.609999999999999
2011-01-22 23:00,20.864285714285717
2011-01-23 0:00,20.864285714285717
2011-01-23 1:00,20.864285714285717
2011-01-23 2:00,16.58095238095238
2011-01-23 3:00,16.58095238095238
2011-01-23 5:00,20.864285714285717
2011-01-23 6:00,20.864285714285717
2011-01-23 7:00,72.12333333333333
2011-01-23 8:00,16.270952380952384
2011-01-23 9:00,19.553333333333335
2011-01-23 10:00,25.1
2011-01-23 11:00,32.2
2011-01-23 12:00,98.4
2011-01-23 13:00,76.9
2011-01-23 14:00,117.1
2011-01-23 15:00,117.1
2011-01-23 16:00,126.2
2011-01-23 17:00,92.7
2011-01-23 18:00,72.9
2011-01-23 19:00,72.9
2011-01-23 20:00,31.2
2011-01-23 21:00,31.2
2011-01-23 22:00,42.5
2011-01-23 23:00,61.5
2011-01-24 0:00,22.0
2011-01-24 1:00,140.5
2011-01-24 3:00,73.5
2011-01-24 4:00,222.0
2011-01-24 5:00,222.0
2011-01-24 6:00,87.3
2011-01-24 7:00,79.05
2011-01-24 8:00,78.7
2011-01-24 9:00,131.8
2011-01-24 10:00,150.9
2011-01-24 11:00,57.30833333333332
2011-01-24 12:00,36.96666666666666
2011-01-24 13:00,47.8
2011-01-24 14:00,34.0
2011-01-24 15:00,80.9
2011-01-24 16:00,88.2
2011-01-24 17:00,22.66
2011-01-24 18:00,37.4
2011-01-24 19:00,64.85
2011-01-24 20:00,37.4
2011-01-24 21:00,17.8
2011-01-24 22:00,21.466666666666665
2011-01-24 23:00,35.666666666666664
2011-01-25 0:00,29.7
2011-01-25 1:00,35.96666666666667
2011-01-25 2:00,94.9
2011-01-25 4:00,77.24333333333334
2011-01-25 5:00,100.0
2011-01-25 6:00,150.6
2011-01-25 7:00,99.9
2011-01-25 8:00,7.15
2011-01-25 9:00,82.85
2011-01-25 10:00,166.53333333333333
2011-01-25 11:00,121.7
2011-01-25 12:00,161.0
2011-01-25 13:00,150.1
2011-01-25 14:00,103.45
2011-01-25 15:00,164.4
2011-01-25 16:00,164.4
2011-01-25 17:00,143.65
2011-01-25 18:00,171.3
2011-01-25 19:00,90.2
2011-01-25 20:00,203.06666666666666
2011-01-25 21:00,203.06666666666666
2011-01-25 22:00,173.65
2011-01-25 23:00,126.75
2011-01-26 0:00,68.59
2011-01-26 1:00,78.03333333333333
2011-01-26 2:00,51.73333333333333
2011-01-26 5:00,12.540000000000001
2011-01-26 6:00,12.540000000000001
2011-01-26 7:00,50.0
2011-01-26 8:00,50.0
2011-01-26 9:00,50.0
2011-01-26 10:00,11.4
2011-01-26 11:00,11.8
2011-01-26 12:00,11.8
2011-01-26 13:00,11.8
2011-01-26 14:00,11.6
2011-01-26 15:00,20.9
2011-01-26 16:00,28.1
2011-01-26 17:00,2.04
2011-01-27 16:00,213.1
2011-01-27 17:00,113.2
2011-01-27 18:00,18.7
2011-01-27 19:00,18.7
2011-01-27 20:00,9.266666666666667
2011-01-27 21:00,9.266666666666667
2011-01-27 22:00,9.266666666666667
2011-01-27 23:00,199.5
2011-01-28 0:00,43.1
2011-01-28 1:00,43.1
2011-01-28 2:00,16.0
2011-01-28 3:00,152.95
2011-01-28 5:00,68.76666666666668
2011-01-28 6:00,111.7
2011-01-28 7:00,11.0
2011-01-28 8:00,11.0
2011-01-28 9:00,49.5
2011-01-28 10:00,84.71000000000001
2011-01-28 11:00,59.260000000000005
2011-01-28 12:00,59.260000000000005
2011-01-28 13:00,59.260000000000005
2011-01-28 14:00,196.5
2011-01-28 15:00,53.43499999999999
2011-01-28 16:00,47.96333333333333
2011-01-28 17:00,189.71333333333334
2011-01-28 18:00,94.5
2011-01-28 19:00,61.766666666666666
